race_id,driver_id,lap,message_text,position
502,222,42,"Final lap, bring it home.",
196,22,3,"Final lap, bring it home.",13.0
126,66,39,"Final lap, bring it home.",16.0
1108,852,5,"Final lap, bring it home.",13.0
182,64,4,"Final lap, bring it home.",10.0
1118,847,41,"Final lap, bring it home.",8.0
540,229,10,"Final lap, bring it home.",
1040,825,10,"Final lap, bring it home.",9.0
319,102,53,"Final lap, bring it home.",
479,173,16,"Final lap, bring it home.",
743,289,39,"Final lap, bring it home.",
992,807,9,"Final lap, bring it home.",5.0
1084,846,55,"Final lap, bring it home.",10.0
455,188,27,"Final lap, bring it home.",
40,5,35,"Final lap, bring it home.",14.0
762,289,4,"Final lap, bring it home.",
508,191,27,"Final lap, bring it home.",
432,94,1,"Final lap, bring it home.",
548,197,34,"Final lap, bring it home.",
586,275,15,"Final lap, bring it home.",
589,233,43,"Final lap, bring it home.",
572,200,11,"Final lap, bring it home.",
12,153,13,"Final lap, bring it home.",
1011,1,29,"Final lap, bring it home.",3.0
1143,846,22,"Final lap, bring it home.",2.0
1076,822,30,"Final lap, bring it home.",13.0
752,479,22,"Final lap, bring it home.",
425,112,10,"Final lap, bring it home.",
940,3,52,"Final lap, bring it home.",2.0
64,23,67,"Final lap, bring it home.",9.0
892,820,11,"Final lap, bring it home.",21.0
69,29,8,"Final lap, bring it home.",21.0
116,52,16,"Final lap, bring it home.",17.0
266,81,4,"Final lap, bring it home.",
49,11,39,"Final lap, bring it home.",15.0
323,110,9,"Final lap, bring it home.",
14,22,46,"Final lap, bring it home.",3.0
298,105,37,"Final lap, bring it home.",
191,21,2,"Final lap, bring it home.",5.0
143,56,6,"Final lap, bring it home.",14.0
509,207,51,"Final lap, bring it home.",
815,647,35,"Final lap, bring it home.",
73,18,46,"Final lap, bring it home.",4.0
97,46,8,"Final lap, bring it home.",18.0
869,814,43,"Final lap, bring it home.",11.0
662,347,16,"Final lap, bring it home.",
572,284,1,"Final lap, bring it home.",
70,27,68,"Final lap, bring it home.",14.0
627,235,11,"Final lap, bring it home.",
177,23,2,"Final lap, bring it home.",7.0
725,423,37,"Final lap, bring it home.",
216,75,11,"Final lap, bring it home.",13.0
1143,844,46,"Final lap, bring it home.",2.0
634,339,22,"Final lap, bring it home.",
612,235,38,"Final lap, bring it home.",
107,2,15,"Final lap, bring it home.",17.0
182,15,26,"Final lap, bring it home.",15.0
446,173,1,"Final lap, bring it home.",
381,114,49,"Final lap, bring it home.",
645,359,19,"Final lap, bring it home.",
374,78,15,"Final lap, bring it home.",
599,252,5,"Final lap, bring it home.",
95,18,72,"Final lap, bring it home.",2.0
299,102,22,"Final lap, bring it home.",
562,232,24,"Final lap, bring it home.",
383,137,12,"Final lap, bring it home.",
195,25,20,"Final lap, bring it home.",6.0
608,333,39,"Final lap, bring it home.",
941,832,21,"Final lap, bring it home.",11.0
291,119,4,"Final lap, bring it home.",
215,63,21,"Final lap, bring it home.",13.0
223,79,22,"Final lap, bring it home.",17.0
25,1,46,"Final lap, bring it home.",13.0
1027,842,39,"Final lap, bring it home.",12.0
865,8,34,"Final lap, bring it home.",13.0
913,815,38,"Final lap, bring it home.",17.0
177,25,5,"Final lap, bring it home.",18.0
537,221,44,"Final lap, bring it home.",
503,200,1,"Final lap, bring it home.",
87,39,56,"Final lap, bring it home.",15.0
295,81,3,"Final lap, bring it home.",
155,8,17,"Final lap, bring it home.",6.0
64,37,2,"Final lap, bring it home.",7.0
529,224,27,"Final lap, bring it home.",
633,314,4,"Final lap, bring it home.",
519,152,49,"Final lap, bring it home.",
32,17,26,"Final lap, bring it home.",6.0
635,238,2,"Final lap, bring it home.",
522,233,33,"Final lap, bring it home.",
250,79,43,"Final lap, bring it home.",
821,427,21,"Final lap, bring it home.",
601,233,12,"Final lap, bring it home.",
875,1,50,"Final lap, bring it home.",10.0
269,100,54,"Final lap, bring it home.",
696,403,43,"Final lap, bring it home.",
624,314,10,"Final lap, bring it home.",
45,17,5,"Final lap, bring it home.",4.0
788,482,44,"Final lap, bring it home.",
60,27,19,"Final lap, bring it home.",15.0
256,77,54,"Final lap, bring it home.",
926,13,36,"Final lap, bring it home.",4.0
184,48,21,"Final lap, bring it home.",14.0
1063,852,1,"Final lap, bring it home.",15.0
1042,849,54,"Final lap, bring it home.",19.0
491,158,44,"Final lap, bring it home.",
474,202,32,"Final lap, bring it home.",
204,68,47,"Final lap, bring it home.",9.0
351,20,23,"Final lap, bring it home.",2.0
1083,847,42,"Final lap, bring it home.",
225,44,34,"Final lap, bring it home.",11.0
790,501,46,"Final lap, bring it home.",
147,55,13,"Final lap, bring it home.",9.0
385,127,45,"Final lap, bring it home.",
110,35,17,"Final lap, bring it home.",11.0
392,123,14,"Final lap, bring it home.",
513,199,16,"Final lap, bring it home.",
1069,8,24,"Final lap, bring it home.",10.0
491,163,1,"Final lap, bring it home.",
70,2,34,"Final lap, bring it home.",9.0
52,11,29,"Final lap, bring it home.",14.0
159,41,46,"Final lap, bring it home.",12.0
304,109,20,"Final lap, bring it home.",
1087,852,35,"Final lap, bring it home.",14.0
498,197,26,"Final lap, bring it home.",
142,8,29,"Final lap, bring it home.",
562,197,39,"Final lap, bring it home.",
500,119,9,"Final lap, bring it home.",
848,16,10,"Final lap, bring it home.",9.0
224,14,16,"Final lap, bring it home.",14.0
238,64,15,"Final lap, bring it home.",15.0
1074,4,18,"Final lap, bring it home.",9.0
963,822,43,"Final lap, bring it home.",5.0
494,197,12,"Final lap, bring it home.",
667,312,15,"Final lap, bring it home.",
246,87,21,"Final lap, bring it home.",
505,172,18,"Final lap, bring it home.",
559,119,44,"Final lap, bring it home.",
341,13,18,"Final lap, bring it home.",7.0
640,262,20,"Final lap, bring it home.",
733,346,44,"Final lap, bring it home.",
205,68,3,"Final lap, bring it home.",19.0
1040,825,9,"Final lap, bring it home.",9.0
